City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
47,Arraial Do Cabo,BR,70.72,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
77,Ilhabela,BR,70.61,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
96,Cambui,BR,70.54,overcast clouds,-22.6122,-46.0575,Hotel Zé Maria - Cambuí
222,Nouadhibou,MR,70.7,few clouds,20.931,-17.0347,El Medina
228,Sikonge,TZ,70.18,scattered clouds,-5.6333,32.7667,Pretoria 2 Lodge
284,Natal,BR,70.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
350,Camacha,PT,70.56,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
364,Dondo,MZ,70.97,few clouds,-19.6094,34.7431,Arco Iris
377,Lagoa,PT,70.95,broken clouds,39.05,-27.9833,Casa Das Faias
403,La Joya,MX,70.39,overcast clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
408,Lompoc,US,70.11,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
439,La Macarena,CO,70.61,broken clouds,2.1837,-73.7849,Hotel Punto Verde
446,Puerto Leguizamo,CO,70.57,scattered clouds,-0.1934,-74.7819,la casona de juancho
467,Tocache,PE,70.09,broken clouds,-8.1842,-76.5125,Hotel Ortiz
468,Touros,BR,70.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
479,Lebrija,ES,70.59,clear sky,36.9208,-6.0753,Hostal Mellizo
481,Kentau,KZ,70.66,clear sky,43.5206,68.5094,Safary
508,Amapa,BR,70.66,overcast clouds,1.0,-52.0,
530,Cabot,US,70.86,clear sky,34.9745,-92.0165,Super 8 by Wyndham Cabot
650,Golden,US,70.5,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
