City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,41.72,88,74,13.44,broken clouds
1,Kodiak,US,57.79,-152.4072,51.31,93,90,18.41,light rain
2,Chuy,UY,-33.6971,-53.4616,53.65,92,73,12.84,broken clouds
3,Butaritari,KI,3.0707,172.7902,83.61,72,9,14.56,light rain
4,Abu Zabad,SD,12.35,29.25,73.15,81,86,9.55,overcast clouds
5,Thompson,CA,55.7435,-97.8558,50.43,86,96,4.12,overcast clouds
6,Victoria,HK,22.2855,114.1577,91.45,72,12,4.0,few clouds
7,Port Lincoln,AU,-34.7333,135.8667,71.47,31,3,25.77,clear sky
8,Marawi,PH,7.9986,124.2928,76.64,82,100,6.11,overcast clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,51.82,100,90,32.21,moderate rain
10,Avarua,CK,-21.2078,-159.775,75.25,83,40,13.8,scattered clouds
11,Qaanaaq,GL,77.484,-69.3632,14.63,62,50,8.5,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,74.19,79,46,17.67,light rain
13,Souillac,MU,-20.5167,57.5167,72.36,74,12,12.84,few clouds
14,Osakarovka,KZ,50.565,72.5692,54.41,36,2,13.04,clear sky
15,Sangin,AF,32.0728,64.8359,90.54,10,0,3.47,clear sky
16,Ketchikan,US,55.3422,-131.6461,52.27,100,75,3.44,broken clouds
17,Mahebourg,MU,-20.4081,57.7,72.25,74,11,14.09,few clouds
18,Port Elizabeth,ZA,-33.918,25.5701,54.52,81,96,4.7,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,67.55,96,97,8.01,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,39.31,75,20,12.66,few clouds
21,Winslow,US,35.0242,-110.6974,78.98,46,1,1.01,clear sky
22,Hermanus,ZA,-34.4187,19.2345,51.91,83,98,14.74,overcast clouds
23,Inongo,CD,-1.95,18.2667,68.11,95,48,3.49,scattered clouds
24,Yellowknife,CA,62.456,-114.3525,52.32,100,90,9.22,light rain
25,Brunico,IT,46.7958,11.9364,56.95,96,27,1.39,scattered clouds
