City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hervey Bay,AU,2021-09-09 04:06:19,-25.2986,152.8535,69.71,61,57,11.3
1,Punta Arenas,CL,2021-09-09 04:02:28,-53.15,-70.9167,42.31,71,1,12.3
2,Kaitangata,NZ,2021-09-09 04:06:19,-46.2817,169.8464,57.11,51,99,23.13
3,Hobart,AU,2021-09-09 04:06:16,-42.8794,147.3294,53.46,82,90,3.0
4,Port Elizabeth,ZA,2021-09-09 04:06:20,-33.918,25.5701,53.76,83,95,4.72
5,Chapais,CA,2021-09-09 04:06:20,49.7834,-74.8492,51.37,97,47,5.66
6,Qaanaaq,GL,2021-09-09 04:06:21,77.484,-69.3632,15.04,61,49,8.79
7,Castro,BR,2021-09-09 04:01:49,-24.7911,-50.0119,62.38,94,98,6.46
8,Butaritari,KI,2021-09-09 04:06:21,3.0707,172.7902,83.79,71,11,14.67
9,Harwich,GB,2021-09-09 04:06:22,51.9419,1.2844,63.28,89,97,7.09
10,Biak,ID,2021-09-09 04:06:22,-0.9131,122.8766,75.83,91,94,10.18
11,Mataura,NZ,2021-09-09 04:06:23,-46.1927,168.8643,55.47,57,100,15.95
12,Hirara,JP,2021-09-09 04:06:23,24.8,125.2833,85.33,74,77,13.91
13,Ambon,ID,2021-09-09 04:06:23,-3.6954,128.1814,84.34,79,75,8.05
14,Russell,US,2021-09-09 04:06:24,32.3502,-85.1999,74.48,90,40,0.0
15,Serowe,BW,2021-09-09 04:06:24,-22.3833,26.7167,53.42,95,49,11.88
16,Cherskiy,RU,2021-09-09 04:06:24,68.75,161.3,36.73,77,99,19.89
17,Atuona,PF,2021-09-09 04:06:25,-9.8,-139.0333,78.15,76,0,16.71
18,Puerto Ayora,EC,2021-09-09 04:06:25,-0.7393,-90.3518,69.55,92,97,5.99
19,Saskylakh,RU,2021-09-09 04:06:25,71.9167,114.0833,52.66,43,100,12.8
20,Ushuaia,AR,2021-09-09 04:01:50,-54.8,-68.3,42.44,92,90,3.04
21,Codrington,AU,2021-09-09 04:06:26,-38.2667,141.9667,68.94,54,100,17.0
22,Vaitape,PF,2021-09-09 04:06:26,-16.5167,-151.75,78.85,72,17,11.41
23,Dunedin,NZ,2021-09-09 04:06:27,-45.8742,170.5036,59.32,44,100,21.18
24,Hilo,US,2021-09-09 04:06:27,19.7297,-155.09,80.33,76,20,8.05
25,Kortkeros,RU,2021-09-09 04:06:27,61.8106,51.5806,51.8,98,100,8.7
26,Vaini,TO,2021-09-09 04:06:28,-21.2,-175.2,71.76,94,90,14.97
27,Provideniya,RU,2021-09-09 04:06:29,64.3833,-173.3,46.51,87,90,11.18
28,Port Hedland,AU,2021-09-09 04:06:29,-20.3167,118.5667,91.45,14,17,13.8
29,Kattivakkam,IN,2021-09-09 04:06:29,13.2167,80.3167,89.69,58,100,7.16
30,Cape Town,ZA,2021-09-09 04:04:04,-33.9258,18.4232,52.12,87,100,1.99
31,Hermanus,ZA,2021-09-09 04:06:30,-34.4187,19.2345,51.91,84,98,14.14
32,Udachnyy,RU,2021-09-09 04:06:30,66.4167,112.4,62.31,44,99,12.03
33,Nanortalik,GL,2021-09-09 04:06:31,60.1432,-45.2371,44.01,94,15,7.99
34,Saint Anthony,US,2021-09-09 04:06:31,45.0205,-93.218,63.72,77,1,3.44
35,Esperance,AU,2021-09-09 04:06:31,-33.8667,121.9,65.07,75,99,13.76
36,Sao Joao Da Barra,BR,2021-09-09 04:04:46,-21.6403,-41.0511,69.89,86,45,17.4
37,Port Blair,IN,2021-09-09 04:06:32,11.6667,92.75,81.3,78,98,16.87
38,Lakes Entrance,AU,2021-09-09 04:06:32,-37.8811,147.981,74.16,42,100,12.35
39,Sao Miguel Do Araguaia,BR,2021-09-09 04:06:33,-13.275,-50.1628,82.76,28,7,3.96
40,Terrace Bay,CA,2021-09-09 04:06:33,48.7834,-87.1,51.03,88,64,9.17
41,Libreville,GA,2021-09-09 04:06:33,0.3925,9.4537,78.82,89,75,10.36
42,Nieuw Amsterdam,SR,2021-09-09 04:06:34,5.8833,-55.0833,80.02,92,97,9.48
43,Chokurdakh,RU,2021-09-09 04:06:34,70.6333,147.9167,36.91,65,100,9.4
44,Jacareacanga,BR,2021-09-09 04:06:34,-6.2222,-57.7528,72.21,96,80,2.68
45,Totness,SR,2021-09-09 04:06:35,5.8833,-56.3167,79.02,88,89,10.94
46,Tasiilaq,GL,2021-09-09 04:06:35,65.6145,-37.6368,44.76,53,85,8.25
47,Longyearbyen,SJ,2021-09-09 04:06:35,78.2186,15.6401,35.44,87,75,6.91
48,Raga,SS,2021-09-09 04:06:36,8.4596,25.678,67.96,98,100,1.92
49,Gat,IL,2021-09-09 04:06:36,31.61,34.7642,76.41,45,0,4.61
50,Baykit,RU,2021-09-09 04:06:37,61.67,96.37,49.01,89,100,7.58
